ID,Codigo,Examen,Material
1985,VDRL,VDRL cualitativa,suero
1986,VDRL,VDRL cuantitativa,suero
1987,VDRLLCR,VDRL,LCR
1988,VDRL,VDRL,suero
1989,AACT,Adrenal Ac. Totales,suero
1990,TOSHI,Verotoxinas 1 y 2 E. coli PCR,cepa de E. coli
1991,TOSHIMF,Verotoxinas 1 y 2 E.coli PCR,materia fecal
1992,17HPGN,17-Hidroxi Progesterona neonatal,sangre seca en papel filtro
1993,CLO,Cloro,orina
1994,CL,Cloro,suero
1995,VIGA,Vigabatrin,suero
1996,ATBESP,Antibiograma espermocultivo,cepa bacteriana
1997,5HTTVNTR,5HTT Gen VNTR,sangre EDTA
1998,VINCHU,Vinchuca,vinchuca
1999,VIP,VIP - Peptido Intestinal Vasoactivo,plasma EDTA
2000,VSIMHAN,Viruela del mono PCR,hisopado anal
2001,VSIMHL,Viruela del mono PCR,hisopado de lesion
2002,VSIMOTR,Viruela del mono PCR,otro material
2003,VSIMRL,Viruela del mono PCR,raspado de lesion
2004,VSIMHAN,Viruela Simica PCR,hisopado anal
2005,VSIMHL,Viruela Simica PCR,hisopado de lesion
2006,VSIMOTR,Viruela Simica PCR,otro material
2007,VSIMRL,Viruela Simica PCR,raspado de lesion
2008,VRPCRAN,Virus Respiratorios PCR Panel ampliado,aspirado nasofaríngeo
2009,VRPCRAT,Virus Respiratorios PCR Panel ampliado,aspirado traqueal
2010,VRPCRHN,Virus Respiratorios PCR Panel ampliado,hisopado nasofaríngeo
2011,VRPCR,Virus Respiratorios PCR Panel ampliado,lavado bronqueoalveolar
2012,VRPRAN,Virus Respiratorios PCR Panel reducido,aspirado nasofaríngeo
2013,VRPRAT,Virus Respiratorios PCR Panel reducido,aspirado traqueal
2014,VRPRHN,Virus Respiratorios PCR Panel reducido,hisopado nasofaríngeo
2015,VRPRBAL,Virus Respiratorios PCR Panel reducido,lavado bronqueoalveolar
2016,VITA,Vitamina A - Retinol,suero
2017,VITAYE,VITAMINA A - VITAMINA E,suero
2018,VITB1,VITAMINA B1 - TIAMINA DIFOSFATO,sangre EDTA
2019,VITB12,Vitamina B12,suero
2020,VITB2,Vitamina B2 - Riboflavina,suero
2021,VITB6,Vitamina B6,plasma EDTA
2022,BIOT,Vitamina B7,suero
2023,FOL,VITAMINA B9,suero
2024,FOLER,Vitamina B9,suero
2025,VITC,Vitamina C - Acido Ascorbico,suero desproteinizado
2026,CA24,Calcio,orina 24 h
2027,VITE,Vitamina E - Alfa tocoferol,suero
2028,CAL,Calcio,orina Litro
2029,17HPGP,17-Hidroxi Progesterona - Prueba de estímulo con ACTH,suero
2030,CA,Calcio,suero
2031,VORICO,Voriconazol,suero
2032,XILO120,Xilosa Prueba 120 minutos,suero
2033,XILO60,Xilosa Prueba 60 minutos,suero
2034,XILOADUL,Xilosa prueba adultos,120min
2035,XILONI,Xilosa prueba niños,60min
2036,XILO,Xilosa,orina 5 h post xilosa
2037,YO,Yo (PCA-1) Ac.,suero
2038,Z704938,"Zap 70,CD49 d,CD38",sangre EDTA
2039,RH,Aglutininas Rh,suero
2040,CC4O,Calcio-Creatinina,orina 4h
2041,ZIKAO,Zika virus PCR,orina
2042,ZIKAS,Zika virus PCR,semen
2043,ZIKA,Zika virus PCR,suero
2044,CALU,Calculo urinario,orina
2045,CC24O,Calcio-Creatinina,orina 24 h
2046,CALC,Calcitonina,suero
2047,VITD125,"Calcitriol - 1,25-Dihidroxivitamina D",suero
2048,ABO,Aglutininas ABO,suero
2049,ZINCO,Zinc,orina
2050,ZINC,Zinc,suero
2051,ATBESPU,Antibiograma esputo,cepa bacteriana
2052,ZONULINA,Zonulina,materia fecal
2053,LSDO,Acido Lisergico LSD,orina
