codigo,capitulo,enfermedad,tipo de enfermedad,descripcion
B53,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otro paludismo [malaria] confirmado parasitológicamente
B54,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Paludismo [malaria] no especificado
B55,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Leishmaniasis
B56,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tripanosomiasis africana
B57,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Enfermedad de Chagas
B58,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Toxoplasmosis
B59,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Neumocistosis
B60,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Otras enfermedades debidas a protozoarios, no clasificadas en otra parte"
B64,CAPITULO I,Enfermedades debidas a protozoarios,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Enfermedad debida a protozoarios, no especificada"
B65,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Esquistosomiasis [bilharziasis]
B66,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras infecciones debidas a tremátodos
B67,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Equinococosis
B68,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Teniasis
B69,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Cisticercosis
B70,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Difilobotriasis y esparganosis
B71,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras infecciones debidas a cestodos
B72,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Dracontiasis
B73,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Oncocercosis
B74,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Filariasis
B75,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Triquinosis
B76,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Anquilostomiasis y necatoriasis
B77,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Ascariasis
B78,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Estrongiloidiasis
B79,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tricuriasis
B80,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Enterobiasis
B81,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Otras helmintiasis intestinales, no clasificadas en otra parte"
B82,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Parasitosis intestinales, sin otra especificación"
B83,CAPITULO I,Helmintiasis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras helmintiasis
B85,CAPITULO I,Pediculosis. Acariasis y otras manifestaciones,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Pediculosis y pithiriasis
B86,CAPITULO I,Pediculosis. Acariasis y otras manifestaciones,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Escabiosis
B87,CAPITULO I,Pediculosis. Acariasis y otras manifestaciones,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Miasis
B88,CAPITULO I,Pediculosis. Acariasis y otras manifestaciones,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras infestaciones
B89,CAPITULO I,Pediculosis. Acariasis y otras manifestaciones,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Enfermedad parasitaria, no especificada"
B90,CAPITULO I,Secuelas de enfermedades infecciosas y parasitarias,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Secuelas de tuberculosis
B91,CAPITULO I,Secuelas de enfermedades infecciosas y parasitarias,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Secuelas de poliomielitis
B92,CAPITULO I,Secuelas de enfermedades infecciosas y parasitarias,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Secuelas de lepra
B94,CAPITULO I,Secuelas de enfermedades infecciosas y parasitarias,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Secuelas de otras enfermedades infecciosas y parasitarias y de las no especificadas
B95,CAPITULO I,"Bacterias, virus y otros agentes infecciosos",CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Estreptococos y estafilococos como causa de enfermedades clasificadas en otros capítulos
B96,CAPITULO I,"Bacterias, virus y otros agentes infecciosos",CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otros agentes bacterianos como causa de enfermedades clasificadas en otros capítulos
B97,CAPITULO I,"Bacterias, virus y otros agentes infecciosos",CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Agentes virales como causa de enfermedades clasificadas en otros capítulos
B99,CAPITULO I,Otras enfermedades infecciosas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras enfermedades infecciosas y las no especificadas
